"Отметка времени","Ссылка на вашу страницу ВКонтакте","Я — душа компании","Я легко поддаюсь стрессу","Меня мало волнует судьба других","Я всегда подготавливаюсь заранее","У меня богатый словарный запас","Я не говорю много","Большую часть времени я расслаблен","Меня интересуют люди","Я забываю свои вещи","Мне трудно понимать абстрактные идеи","Я чувствую себя комфортно среди людей","Я беспокоюсь о разных вещах","Я оскорбляю людей","Я обращаю внимание на детали","У меня живое воображение","Я остаюсь в тени","Я редко чувствую себя подавленным","Я сочувствую другим","Я все порчу","Меня не интересуют абстрактные идеи","Я могу начать разговор","Меня легко вывести из себя","Меня не интересуют чужие проблемы","Я сразу же приступаю к выполнению домашних дел","У меня есть превосходные идеи","Я обычно не многословен","Меня легко расстроить","У меня мягкое сердце","Я часто забываю класть вещи на место","У меня не очень хорошее воображение","На вечеринках я общаюсь со многими разными людьми","У меня часто меняется настроение","Меня на самом деле не интересуют другие","Я люблю порядок","Я быстро все понимаю","Я не люблю привлекать к себе внимание","У меня часто происходят перепады настроения","Я уделяю время другим","Я уклоняюсь от своих обязанностей","Я использую сложные слова","Я не против быть в центре внимания","Я легко раздражаюсь","Я чувствую эмоции других","Я следую расписанию","Я провожу время, размышляя о различных вещах","Я веду себя тихо с незнакомыми людьми","Я часто чувствую себя подавленным","Я помогаю людям чувствовать себя непринужденно","Я требователен к своей работе","Я полон идей"
"2024/10/11 3:37:45 PM GMT+3","https://vk.com/vicved_mua","3","2","1","3","3","1","1","4","4","1","5","5","5","5","5","2","2","5","1","1","4","2","3","4","5","2","2","5","2","1","3","2","1","4","5","3","2","5","1","1","5","4","5","5","3","2","2","5","4","5"
"2024/10/11 3:38:12 PM GMT+3","@id187561455","4","4","1","3","4","1","3","5","4","4","5","4","1","3","3","3","1","5","3","3","5","3","2","1","3","1","4","5","5","3","5","4","1","2","4","3","3","4","2","4","3","3","5","3","3","1","2","4","4","3"
"2024/10/11 3:59:09 PM GMT+3","https://vk.com/som_eww","3","5","4","3","3","2","2","4","5","4","3","4","4","3","4","4","2","4","3","3","5","5","2","1","4","2","5","4","5","3","3","3","2","2","4","2","5","5","4","4","4","5","4","3","4","4","3","4","3","4"
"2024/10/11 6:13:53 PM GMT+3","https://vk.com/s1fuck","3","3","3","4","2","4","4","4","3","2","3","4","2","4","2","3","3","4","2","2","5","2","3","4","3","4","3","4","2","3","2","2","3","4","4","5","2","3","1","3","2","2","3","3","4","3","2","2","5","4"
"2024/10/11 8:24:52 PM GMT+3","https://vk.com/marimops","3","5","1","4","3","5","1","5","3","3","2","5","1","4","4","5","1","5","4","3","2","3","2","1","5","5","5","5","4","2","1","5","2","3","2","5","5","4","3","2","2","3","5","3","5","5","5","3","5","4"
"2024/10/11 11:04:32 PM GMT+3","https://vk.com/id148145779","2","5","1","4","3","5","2","3","5","4","3","5","1","2","1","4","1","4","2","1","5","1","1","1","1","4","4","4","5","4","2","2","2","4","2","4","1","5","3","3","2","2","2","1","5","5","5","2","2","1"
"2024/10/12 7:52:02 AM GMT+3","https://vk.com/margaritaaaaaa","2","5","2","4","3","4","2","4","2","2","4","5","1","1","5","2","3","4","1","3","5","2","4","2","4","4","4","4","2","2","5","5","2","5","4","3","5","5","2","2","5","3","2","3","5","3","3","2","5","4"
"2024/10/12 12:33:46 PM GMT+3","https://vk.com/emfii99","3","3","2","4","3","2","2","5","3","1","3","4","4","5","5","3","2","5","2","1","4","5","1","2","3","2","3","4","2","1","5","3","1","3","3","2","3","4","4","3","4","4","5","2","4","3","3","4","4","4"
"2024/10/12 12:34:39 PM GMT+3","@vorkonale","3","2","2","4","4","3","3","4","1","1","3","4","1","4","4","2","4","4","1","1","4","1","2","4","3","3","2","2","1","1","3","3","1","3","4","4","1","4","2","3","4","2","4","4","4","3","1","3","4","2"
"2024/10/12 12:37:26 PM GMT+3","https://vk.com/ppppeple","3","5","3","5","3","2","2","5","5","3","2","5","1","5","4","3","3","4","3","1","4","4","2","1","5","3","5","5","1","3","2","3","3","5","2","1","3","5","3","4","5","5","5","4","5","5","5","5","4","5"
"2024/10/12 12:42:33 PM GMT+3","vk.com/feddle","3","4","1","4","4","2","2","5","2","1","4","4","1","4","4","1","3","5","2","1","5","2","1","1","3","2","2","5","3","1","2","2","1","4","5","2","1","5","2","4","3","2","5","4","3","4","2","3","5","4"
"2024/10/12 12:48:57 PM GMT+3","https://vk.com/sourornot","3","3","2","4","3","2","1","5","2","3","4","5","2","5","4","2","2","4","2","3","2","4","2","2","3","2","4","5","4","2","2","5","1","4","5","2","4","5","4","3","4","4","5","2","2","4","4","5","5","3"
"2024/10/12 1:38:55 PM GMT+3","https://vk.com/iamthesunn","2","4","4","2","4","4","2","2","5","5","3","4","2","4","4","4","2","2","4","4","5","2","4","1","3","3","2","2","5","2","4","4","5","4","2","4","4","2","5","2","1","2","1","1","2","1","4","3","4","2"
"2024/10/12 3:45:56 PM GMT+3","https://vk.com/violettcutelittlekiten","3","3","2","4","4","4","2","2","1","3","3","4","2","5","5","2","3","4","1","3","5","2","3","2","5","5","1","3","1","1","2","4","3","4","3","3","4","4","1","4","3","3","3","4","4","5","3","3","5","3"
"2024/10/12 4:56:34 PM GMT+3","https://vk.com/obrevskaya","2","4","3","2","4","4","3","4","2","1","3","5","1","4","5","4","2","5","3","1","2","2","1","1","4","4","3","5","3","1","1","2","2","4","3","5","1","4","3","2","2","4","3","2","4","5","4","2","3","2"
"2024/10/12 5:35:05 PM GMT+3","https://vk.com/bl_sea_ua","4","3","3","4","4","1","3","4","2","3","5","3","4","3","3","2","2","4","2","3","5","3","3","3","1","1","2","3","2","3","3","3","3","5","4","2","4","4","2","3","4","3","4","5","3","3","3","5","5","3"
"2024/10/13 5:02:08 AM GMT+3","https://vk.com/5LuckyFox","1","2","4","1","4","2","2","4","2","5","2","4","2","2","3","4","2","4","2","4","4","2","4","5","3","2","4","2","5","3","2","4","2","4","2","5","2","4","2","4","2","4","2","4","2","5","1","2","4","2"
"2024/10/13 3:32:37 PM GMT+3",".","2","5","4","5","4","2","1","2","3","4","3","4","4","5","3","5","3","2","3","3","2","4","5","3","4","3","5","3","4","4","2","4","4","5","3","5","5","3","3","5","2","5","2","4","4","5","3","2","5","3"
"2024/10/13 3:48:19 PM GMT+3","https://vk.com/n_78066261","3","1","2","4","4","3","2","2","1","3","3","3","2","4","3","2","3","2","4","4","5","2","4","5","4","3","2","3","1","3","4","3","4","5","4","4","3","4","1","5","5","2","3","5","4","4","4","3","5","3"
"2024/10/13 4:02:23 PM GMT+3","https://m.vk.com/i8____8i","3","4","4","4","2","3","2","3","5","4","3","2","4","4","4","3","3","3","5","4","5","3","4","2","2","3","3","1","2","4","2","3","4","4","2","3","3","4","3","1","3","3","2","3","1","2","3","2","4","2"
"2024/10/13 8:00:06 PM GMT+3","https://vk.com/khlebnikova_01","4","2","1","3","3","3","3","5","1","1","5","4","2","4","4","1","5","5","1","3","5","3","2","3","4","2","3","5","2","2","5","2","2","4","4","2","3","4","2","2","5","4","4","4","2","3","1","1","4","4"
"2024/10/13 11:46:15 PM GMT+3","https://vk.com/id264457326","3","2","3","3","4","2","4","4","4","2","3","4","1","5","5","2","4","4","1","2","4","2","4","3","3","2","1","3","2","1","2","2","1","4","3","3","1","4","2","4","2","2","4","4","4","3","5","3","4","2"
"2024/10/13 11:47:23 PM GMT+3","Сиза","5","4","2","3","1","1","3","4","2","3","5","3","5","5","5","1","2","4","3","3","5","5","2","1","5","1","5","5","3","1","5","5","1","2","5","1","5","5","4","3","5","5","4","5","5","1","4","5","5","5"
"2024/10/13 11:47:38 PM GMT+3","Артем","2","2","4","3","4","3","3","1","2","2","5","3","3","3","4","1","5","1","1","2","5","2","4","1","3","4","3","2","1","1","4","1","4","3","3","3","1","3","2","2","2","1","3","3","4","1","1","4","1","4"
"2024/10/14 9:27:49 AM GMT+3","Нет","3","4","2","4","3","2","5","4","2","3","2","4","4","4","5","1","3","2","3","3","2","3","4","2","3","4","1","5","5","1","2","4","1","3","2","1","2","2","5","2","5","1","3","1","5","5","3","2","2","4"
"2024/10/14 12:26:14 PM GMT+3","https://vk.com/yroslav20056","4","4","3","4","4","2","3","3","2","3","3","2","1","4","5","1","5","4","1","3","5","2","3","3","3","2","2","5","3","1","1","3","2","4","4","4","2","3","2","2","2","1","4","4","4","4","1","4","4","3"
